Elevation,Slope,Bulk Density,Clay Particles,Total Nitrogen,Soil pH,Sand Particle,Silt Particles,Organic Carbon Stocks,Drought (mean),Drought (max),Drought (min),LST,Humidity,Precipitation (mean),Precipitation (max),Precipitation (min),NDVI,EVI,FPAR,GPP
358,10.802975495874861,145,339,1564,54,249,412,44,-49.97222222222222,430,-712,17.38407547169811,0.006002557929605246,51.02777777777778,142,3,0.6834427536231884,4261.123188405797,57.793103448275865,0.0320213768115942
850,5.120022218852377,138,281,902,61,551,167,30,138.25,992,-840,31.96787148594376,0.01105019822716713,107.06944444444444,411,0,0.5710115942028986,3155.376811594203,44.23948811700183,0.03460253623188406
125,0.0,139,313,993,52,269,418,48,-500.7361111111111,611,-1228,33.346961325966845,0.015963327139616013,125.51388888888889,375,0,0.5956347826086957,3867.731884057971,49.872727272727275,0.03131413043478261
2818,17.33116594454847,124,356,1416,64,303,341,60,-145.58333333333334,410,-593,24.069363295880123,0.007878362201154232,75.47222222222223,442,0,0.5950695652173913,3229.1376811594205,43.248628884826324,0.0357
212,11.35117913176943,141,241,756,76,382,377,29,-355.7638888888889,-180,-664,20.266119402985055,0.005040811374783516,35.40277777777778,208,0,0.4087826086956522,2341.3623188405795,25.797445255474454,0.013568478260869566
1438,6.075281442158202,137,336,1442,76,208,456,59,-148.11111111111111,373,-485,25.48089552238804,0.004071172326803207,50.513888888888886,195,0,0.18548695652173913,1110.768115942029,13.918330308529946,0.005940217391304348
185,3.2867239199988556,131,152,3051,49,467,381,63,108.25,493,-362,7.574752851711025,0.00509492214769125,97.72222222222223,192,28,0.6253695652173913,3466.7391304347825,52.29454545454546,0.023817753623188408
1414,10.309625676575019,126,304,1131,53,591,105,60,-563.5,-198,-1030,27.03044247787608,0.011414101347327232,86.61111111111111,293,0,0.6223094202898551,3482.210144927536,48.68921389396709,0.03687644927536232
1272,1.2817164438801332,134,263,866,80,393,344,30,-244.36111111111111,280,-642,25.791764705882372,0.004572563339024782,17.833333333333332,62,1,0.19121739130434784,1072.7246376811595,11.414545454545454,0.004627536231884058
375,20.461887445070808,137,244,2471,56,381,375,53,-364.22222222222223,200,-630,15.515020408163252,0.006294709164649248,55.986111111111114,134,8,0.6058840579710145,3581.2028985507245,50.415607985480946,0.02662644927536232
81,9.269152824655777,165,279,603,51,353,368,41,245.77777777777777,720,-190,22.636666666666713,0.009081175550818443,112.19444444444444,201,25,0.5617384057971014,3159.210144927536,49.92181818181818,0.03114275362318841
115,3.2369445398385017,127,214,3902,58,476,311,64,-288.84722222222223,390,-660,10.938158995815911,0.005615061614662409,53.43055555555556,116,3,0.6592514492753623,3588.572463768116,48.310344827586206,0.02417753623188406
532,14.605767740190545,131,121,904,71,408,471,42,-360.84722222222223,-130,-611,16.425934065934086,0.004966644570231438,35.861111111111114,217,0,0.5019463768115943,2536.2608695652175,35.24817518248175,0.018454710144927538
242,3.1936634063784757,129,308,2506,73,374,317,72,-154.04166666666666,358,-452,12.609543568464744,0.004381412174552679,32.861111111111114,80,7,0.2975151515151515,1750.6363636363637,23.078039927404717,0.014575000000000001
343,3.821659617739945,139,265,829,50,596,140,40,-643.625,-120,-1022,28.184036697247734,0.016918962821364403,124.31944444444444,264,7,0.7881275362318841,5088.666666666667,73.3528336380256,0.05233405797101449
35,2.8509800448080034,134,373,1757,73,281,346,63,-295.52777777777777,210,-771,21.549397590361423,0.005598904099315405,35.763888888888886,107,1,0.40052246376811595,2032.2536231884058,30.328493647912886,0.01621376811594203
561,27.04617401141529,104,362,1708,53,355,283,75,41.833333333333336,448,-310,15.612480000000005,0.008834443986415863,196.88888888888889,712,30,0.7600130434782609,3238.021739130435,57.42700729927007,0.03700398550724638
970,1.8543341688295631,134,225,1648,69,374,401,69,-497.5,-100,-1014,13.72207692307694,0.0035491660237312317,26.055555555555557,184,0,0.3362478260869565,1890.0579710144928,25.328493647912886,0.010409782608695652
627,2.6287548073755884,146,256,1779,65,428,315,54,-388.84722222222223,141,-690,20.206821705426364,0.006481585092842579,47.861111111111114,93,8,0.62903115942029,3929.68115942029,51.831215970961885,0.025243840579710145
1644,2.628998248616621,155,247,1060,75,412,341,33,-88.77777777777777,445,-519,22.38533834586468,0.004658221732825041,25.48611111111111,141,2,0.2786927536231884,1825.5217391304348,21.201818181818183,0.008416304347826089
